make,model,price,fuel,year,kms,power,doors,shift,is_professional,province
SEAT,Toledo,950,Diésel,2000.0,227000,,4,Manual,False,Navarra
CITROEN,C1,6200,Gasolina,2017.0,50071,82.0,5,Manual,True,Tenerife
FORD,Transit Connect,7851,Diésel,2016.0,103000,100.0,4,Manual,True,Barcelona
VOLKSWAGEN,Caravelle,19426,Diésel,2014.0,120000,140.0,4,Manual,True,Navarra
FORD,Transit,22850,Diésel,2017.0,107000,130.0,2,Manual,True,Sevilla
PEUGEOT,3008,11490,Gasolina,2016.0,78665,130.0,5,Manual,True,Madrid
LAND-ROVER,Discovery Sport,28500,Diésel,2017.0,36238,150.0,5,Automático,True,Baleares
HONDA,Civic,8200,Diésel,2012.0,203000,150.0,5,Manual,False,Barcelona
CITROEN,Berlingo,12100,Gasolina,2018.0,45000,110.0,5,Manual,False,Alicante
NISSAN,NOTE,6300,Gasolina,2016.0,77000,80.0,5,Manual,False,Barcelona
CITROEN,Berlingo,13900,Diésel,2017.0,81000,100.0,5,Manual,True,Murcia
VOLKSWAGEN,Golf,1700,Diésel,1990.0,350000,,3,Manual,False,Guipúzcoa
VOLKSWAGEN,Polo,1300,Gasolina,2001.0,217000,75.0,3,Manual,False,Barcelona
MERCEDES-BENZ,Clase CL,6900,Gasolina,2001.0,169450,306.0,2,Automático,True,Málaga
FIAT,Panda,9500,Diésel,2017.0,101623,95.0,5,Manual,True,Madrid
SKODA,Octavia,13990,Gasolina,2019.0,7591,115.0,5,Manual,True,Madrid
BMW,Serie 3,4200,Diésel,2005.0,240000,,5,Automático,False,Jaén
CITROEN,CElysée,4990,Gasolina,2014.0,80000,115.0,4,Manual,True,Las Palmas
MAZDA,Mazda5,5100,Diésel,2009.0,189500,,5,Manual,False,Madrid
BMW,Serie 1,5900,Diésel,2009.0,129000,,3,Manual,False,Alicante
FIAT,Doblò,8000,Diésel,2010.0,135000,120.0,5,Manual,False,Navarra
FORD,CMax,12700,Gasolina,2018.0,53000,125.0,5,Manual,True,Alicante
CITROEN,C3,12490,Gasolina,2019.0,13000,68.0,5,Manual,True,Granada
VOLKSWAGEN,Phaeton,3750,Diésel,2006.0,400,,5,Automático,False,Madrid
BMW,Serie 1,28900,Diésel,2020.0,5000,116.0,5,Automático,True,Barcelona
OPEL,Astra,8490,Diésel,2014.0,139990,130.0,5,Manual,True,Madrid
AUDI,A3,5000,Diésel,2006.0,222500,140.0,5,Manual,False,Barcelona
VOLVO,XC60,10890,Diésel,2009.0,214650,175.0,5,Automático,True,Barcelona
MITSUBISHI,ASX,15300,Diésel,2016.0,67602,114.0,5,Manual,True,Madrid
FORD,Focus,12790,Gasolina,2018.0,29000,125.0,5,Manual,True,Madrid
FIAT,500L,12800,Diésel,2016.0,60029,120.0,5,Manual,True,Málaga
BMW,Serie 3,10000,Diésel,2009.0,162000,177.0,2,Automático,True,Madrid
FORD,SMAX,29300,Diésel,2019.0,11936,150.0,5,Automático,True,Lugo
RENAULT,Captur,14650,Gasolina,2019.0,14000,90.0,5,Manual,True,Madrid
SEAT,Ibiza,11400,Gasolina,2017.0,28000,110.0,5,Automático,False,Barcelona
KIA,Sportage,4500,Diésel,2008.0,128000,,5,Manual,False,Huelva
BMW,Serie 5,18900,Diésel,2014.0,99800,190.0,4,Automático,True,Asturias
PEUGEOT,508 Hybrid,37000,Híbrido enchufable,2020.0,1200,225.0,5,Automático,True,Pontevedra
PEUGEOT,308,6750,Diésel,2015.0,215000,120.0,5,Automático,True,Córdoba
KIA,XCeed,32300,Híbrido enchufable,2021.0,2800,141.0,5,Manual,True,Murcia
OPEL,Insignia,9500,Diésel,2016.0,101859,120.0,5,Manual,True,Madrid
