make,model,price,fuel,year,kms,power,doors,shift,is_professional,province,link
HYUNDAI,Accent,1500,Gasolina,2005,220000,85,5,Manual,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-accent-13i-gls-en-madrid.htm?id=6925113
SEAT,León,5800,Diésel,2012,281000,105,5,Manual,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-16tdi-cr-reference-copa-en-madrid.htm?id=6925109
BMW,Serie 2,28900,Diésel,2018,40000,190,2,Automático,True,A Coruña,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+2-220d-cabrio-475-en-coruna+a.htm?id=6920187
HYUNDAI,Tucson,28090,Diésel,2019,21090,136,5,Automático,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-tucson-16crdi-48v-nline-x-4x2-en-granada.htm?id=6920297
OPEL,Corsa,9910,Gasolina,2018,73330,90,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-14-glp-selective-90-en-granada.htm?id=6920171
VOLKSWAGEN,Golf,16975,Gasolina,2018,46000,110,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-10-tsi-advance-81kw-en-cadiz.htm?id=6890092
PEUGEOT,208,12975,Gasolina,2019,51520,82,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-208-12-puretech-s_s-signature-82-en-cadiz.htm?id=6887880
FIAT,500L,14975,Gasolina,2018,46500,105,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-fiat-500l-09-turbo-twinair-s_s-cross-en-cadiz.htm?id=6887890
AUDI,Q3,24975,Diésel,2017,64650,150,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-audi-q3-20tdi-sport-edition-110kw475-en-cadiz.htm?id=6893392
CITROEN,C3,10975,Gasolina,2017,72000,82,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c3-12-puretech-s_s-feel-83-en-cadiz.htm?id=6890264
OPEL,Corsa,13975,Gasolina,2020,22850,75,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-12-xel-ss-edition-75-en-cadiz.htm?id=6893146
PEUGEOT,208,12975,Gasolina,2019,26700,82,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-208-12-puretech-s_s-signature-82-en-cadiz.htm?id=6893132
SSANGYONG,Tivoli,13975,Gasolina,2018,64000,128,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-g16-limited-4x2-en-cadiz.htm?id=6890304
FIAT,Tipo,13575,Gasolina,2018,65900,120,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-fiat-tipo-14-t-jet-gasolinaglp-lounge-plus-en-cadiz.htm?id=6894744
RENAULT,Kadjar,19500,Gasolina,2018,50500,160,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-13-tce-gpf-zen-117kw-en-cadiz.htm?id=6897084
KIA,Rio,10975,Gasolina,2017,41000,84,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-kia-rio-12-cvvt-eco-dynamics-concept-en-cadiz.htm?id=6894856
VOLKSWAGEN,Golf,16975,Diésel,2016,64400,110,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-16tdi-cr-bmt-advance-110-en-cadiz.htm?id=6894610
PEUGEOT,208,12975,Gasolina,2019,51520,82,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-208-12-puretech-s_s-signature-82-en-cadiz.htm?id=6900770
VOLKSWAGEN,Golf,18500,Gasolina,2019,25800,115,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-10-tsi-advance-85kw-en-cadiz.htm?id=6908270
BMW,X1,23975,Diésel,2016,73350,150,5,Automático,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x1-sdrive-18d-en-cadiz.htm?id=6908258
PEUGEOT,2008,12975,Gasolina,2017,55213,82,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-2008-12-puretech-style-82-en-cadiz.htm?id=6902668
VOLKSWAGEN,Golf,18500,Gasolina,2019,25800,115,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-10-tsi-advance-85kw-en-cadiz.htm?id=6897188
OPEL,Mokka,16975,Gasolina,2018,60970,140,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-x-14t-s_s-innovation-4x2-en-cadiz.htm?id=6914631
FIAT,500L,11975,Gasolina,2017,58450,95,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-fiat-500l-14-pop-star-en-cadiz.htm?id=6914663
FIAT,500,12500,Gasolina,2018,29900,69,3,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-fiat-500-12-lounge-en-cadiz.htm?id=6910086
OPEL,Corsa,9975,Gasolina,2017,60600,90,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-14-selective-90-en-cadiz.htm?id=6908326
BMW,X2,30820,Gasolina,2019,10717,140,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x2-sdrive-18i-en-granada.htm?id=6918217
RENAULT,Clio,13975,Gasolina,2018,39800,90,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-gpf-energy-zen-66kw-en-cadiz.htm?id=6916691
VOLKSWAGEN,Golf,18475,Gasolina,2019,60600,116,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-variant-10-tsi-advance-85kw-en-cadiz.htm?id=6916307
CITROEN,CElysée,12975,Diésel,2018,58400,100,4,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c-elysee-15bluehdi-s_s-shine-100-en-cadiz.htm?id=6916071
SEAT,Toledo,11975,Gasolina,2018,57415,95,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-10-ecotsi-s_s-reference-edition-95-en-cadiz.htm?id=6916333
RENAULT,Scénic,11400,Diésel,2014,113544,130,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-grand--16dci-energy-bose-7pl-en-granada.htm?id=6918185
AUDI,A5,25365,Diésel,2016,28360,190,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-audi-a5-sportback-20tdi-190-en-granada.htm?id=6918085
NISSAN,Micra,15130,Gasolina,2019,0,100,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-n-connecta-100-en-rioja+la.htm?id=6521795
NISSAN,Leaf,17252,Eléctrico,2017,13485,109,5,Automático,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-leaf-tekna-30kwh-en-rioja+la.htm?id=6521779
NISSAN,Nv200,29524,Eléctrico,2020,0,109,5,Automático,True,Unkown,https://www.coches.com/km0/seminuevo-nissan-nv200-e--combi-5-profesional-40kwh-en-rioja+la.htm?id=6762596
NISSAN,Juke,19500,Gasolina,2021,4184,114,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-nissan-juke-10-dig-t-acenta-4x2-114-en-rioja+la.htm?id=6726532
NISSAN,Leaf,27356,Eléctrico,2020,0,150,5,Automático,True,Unkown,https://www.coches.com/km0/seminuevo-nissan-leaf-40-kwh-tekna-en-rioja+la.htm?id=6762592
KIA,Ceed,14490,Gasolina,2019,35131,120,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-kia-ceed-tourer-10-t-gdi-eco-dynamics-concept-120-en-rioja+la.htm?id=6703980
NISSAN,XTrail,30975,Diésel,2021,19603,150,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-x-trail-17-dci-tekna-4x2-en-rioja+la.htm?id=6834501
NISSAN,Juke,21500,Gasolina,2021,9700,117,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-nissan-juke-10-dig-t-n-connecta-4x2-117-en-rioja+la.htm?id=6780120
NISSAN,XTrail,26900,Gasolina,2021,20968,160,5,Automático,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-x-trail-13-dig-t-n-connecta-4x2-dct-en-rioja+la.htm?id=6838077
NISSAN,XTrail,29500,Diésel,2021,17400,150,5,Automático,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-x-trail-17-dci-n-connecta-4x2-cvt-en-rioja+la.htm?id=6816277
MAZDA,Mazda6,6000,Diésel,2008,180000,140,4,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mazda6-20crtd-active-en-rioja+la.htm?id=6893942
NISSAN,Patrol,14500,Diésel,2000,201695,158,3,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-patrol-gr-comfort-en-rioja+la.htm?id=6897460
NISSAN,Micra,13639,Gasolina,2020,21325,100,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-100-en-rioja+la.htm?id=6897458
NISSAN,Micra,6500,Gasolina,2014,71806,80,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-12-naru-edition-en-rioja+la.htm?id=6893946
NISSAN,Qashqai,13990,Diésel,2015,139734,110,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-15dci-360-4x2-en-rioja+la.htm?id=6893944
NISSAN,Navara,23500,Diésel,2017,67836,161,4,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-23dci-doble-cabina-visia-en-rioja+la.htm?id=6905098
MERCEDES-BENZ,Clase B,12000,Diésel,2012,0,136,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+b-b-200cdi-be-475-en-rioja+la.htm?id=6907038
LAND ROVER,Defender,25900,Diésel,1998,207946,112,2,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-tdi-hcpu-en-rioja+la.htm?id=6907034
NISSAN,Pulsar,13900,Diésel,2017,58350,110,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pulsar-15-dci-acenta-en-rioja+la.htm?id=6897464
