make,model,price,fuel,year,kms,power,doors,shift,is_professional,province
Bmw,Serie 3,11900,Diesel,2008,201000,245,2,Manual,t,Murcia
Mercedes,Clase A,2990,Gasolina,2001,141060,82,5,Manual,t,Valencia
Seat,León,20990,Gasolina,2020,64000,150,5,Manual,t,Zaragoza
Renault,Captur,19990,Gasolina,2021,19000,100,5,Manual,t,Unkown
Tesla,Model,65899,Eléctrico,2021,7454,351,5,Automática,t,Malaga
Tesla,Model,64899,Eléctrico,2021,3396,351,5,Automática,t,Malaga
Tesla,Model,64899,Eléctrico,2021,3100,351,5,Automática,t,Malaga
Cupra,Ateca,34990,Gasolina,2020,32500,300,5,Automática,t,Castellon
Citroen,C3,10700,Diesel,2016,211000,75,5,Manual,t,Valencia
Toyota,Rav-4,19750,Híbrido,2016,95436,197,5,Automática,t,Alicante
Chevrolet,Epica,2500,Diesel,2009,271000,150,4,Manual,t,"Coruña,"
Citroen,Berlingo,17000,Eléctrico,2018,13840,67,5,"Directo,",t,Alicante
Ford,C-Max,10200,Diesel,2017,145000,150,5,Manual,t,Badajoz
Citroen,C3,16300,Diesel,2021,12194,110,5,Manual,t,Alicante
Renault,Mégane,8100,Diesel,2014,109100,95,5,Manual,t,Madrid
Volkswagen,Caddy,13580,Gasolina,2019,47965,110,4,Manual,t,"Coruña,"
Kia,Sportage,23900,Gasolina,2022,0,150,5,Manual,t,Palencia
Jaguar,F-Pace,59000,Diesel,2021,18500,163,5,Automática,t,Cordoba
Citroen,C4,9999,Diesel,2015,140223,115,5,Manual,t,Alicante
Mercedes,Eqb,66495,Eléctrico,2022,0,228,5,Automática,t,Madrid
Audi,Q8,58390,Diesel,2018,143278,286,5,Automática,t,Unkown
Hyundai,Kona,13500,Gasolina,2017,45000,120,5,Manual,t,Madrid
Audi,A5,26900,Diesel,2018,105000,190,5,Automática,t,Alicante
Toyota,Yaris,10500,Gasolina,2017,62200,111,5,Manual,t,Guadalajara
Mercedes,Vito,36790,Eléctrico,2019,13200,116,4,"Directo,",t,Unkown
Renault,Mégane,13900,Gasolina,2018,52680,140,5,Manual,t,Madrid
Fiat,Scudo,23900,Diesel,2022,125000,120,4,Manual,t,Madrid
Peugeot,Bipper,3300,Diesel,2014,250000,75,3,Manual,t,Sevilla
Galloper,Super,7900,Diesel,2003,171002,115,3,Manual,t,Barcelona
Volkswagen,T-Cross,18899,Gasolina,2021,9852,95,5,Manual,t,Malaga
Opel,Corsa,4793,Diesel,2017,140000,75,3,Manual,t,Madrid
Mercedes,Clase M,5999,Diesel,2006,275000,190,5,Automática,t,Sevilla
Toyota,Yaris,14900,Gasolina,2021,29335,125,5,Manual,t,Cadiz
Mercedes,Clase C,12900,Diesel,2013,175200,170,4,Manual,t,Madrid
Bmw,Serie 5,37900,Gasolina,2021,9900,184,4,Automática,t,Madrid
Suzuki,Swift,18900,Gasolina,2022,0,129,5,Manual,t,Valladolid
Suzuki,Vitara,27000,Híbrido,2022,0,102,5,Automática,t,Valladolid
Audi,A3,8400,Diesel,2010,187000,105,5,Manual,t,Almeria
Nissan,Terrano,7990,Diesel,2004,180000,154,5,Manual,t,Granada
Peugeot,Expert,15694,Diesel,2019,96059,95,4,Manual,t,Sevilla
